age_bucket,workclass,education-num_bucket,marital-status,occupation,relationship,race,sex,hours-per-week_bucket,capital-gain_bucket,capital-loss_bucket,native-country_group,income
35-44,missing,10_12_some_college_assoc,Divorced,missing,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
25-34,State-gov,09_hs_grad,Never-married,Prof-specialty,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,36-40,none,none,United-States,<=50K
17-24,missing,08_grade_12,Never-married,missing,Own-child,Black,Male,36-40,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,White,Male,1-20,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Adm-clerical,Unmarried,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,13_bachelors,Never-married,Sales,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
65+,State-gov,10_12_some_college_assoc,Married-civ-spouse,Transport-moving,Husband,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Machine-op-inspct,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
25-34,Local-gov,04_grade_7_8,Married-civ-spouse,Other-service,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Other-service,Unmarried,White,Female,36-40,none,none,North-America-other,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Sales,Not-in-family,White,Male,41-50,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Divorced,Adm-clerical,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
55-64,Private,13_bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,none,United-States,>50K
25-34,Local-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Adm-clerical,Unmarried,White,Female,41-50,none,none,United-States,<=50K
55-64,Private,09_hs_grad,Widowed,Adm-clerical,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
17-24,Private,07_grade_11,Never-married,Handlers-cleaners,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Adm-clerical,Unmarried,Black,Female,36-40,none,none,United-States,<=50K
35-44,Self-emp-inc,09_hs_grad,Never-married,Farming-fishing,Not-in-family,White,Male,41-50,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,21-35,none,none,North-America-other,<=50K
45-54,State-gov,13_bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,10_12_some_college_assoc,Divorced,Other-service,Not-in-family,White,Female,36-40,none,none,Other,<=50K
35-44,Private,10_12_some_college_assoc,Divorced,Prof-specialty,Unmarried,White,Female,36-40,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Other-service,Own-child,White,Male,36-40,none,none,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,36-40,none,none,United-States,<=50K
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,none,United-States,>50K
25-34,Private,10_12_some_college_assoc,Never-married,Other-service,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Adm-clerical,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
65+,Private,10_12_some_college_assoc,Separated,Adm-clerical,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Other-service,Wife,White,Female,36-40,none,none,United-States,<=50K
17-24,Private,05_grade_9,Never-married,Machine-op-inspct,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,07_grade_11,Separated,Craft-repair,Own-child,White,Male,36-40,none,none,United-States,<=50K
35-44,missing,10_12_some_college_assoc,Married-civ-spouse,missing,Wife,White,Female,36-40,none,none,United-States,>50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,White,Male,51-60,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,Black,Male,36-40,none,none,United-States,>50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,21-35,none,none,United-States,<=50K
55-64,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,none,United-States,>50K
17-24,State-gov,14_16_graduate,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,1-20,none,none,Asia,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,>50K
35-44,Private,07_grade_11,Separated,Other-service,Unmarried,Black,Female,51-60,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Separated,Transport-moving,Unmarried,Black,Female,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Separated,Adm-clerical,Unmarried,White,Female,21-35,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Sales,Own-child,White,Female,36-40,none,none,United-States,<=50K
35-44,missing,09_hs_grad,Married-civ-spouse,missing,Wife,White,Female,1-20,none,none,United-States,<=50K
17-24,missing,10_12_some_college_assoc,Never-married,missing,Unmarried,White,Female,1-20,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Exec-managerial,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
35-44,Local-gov,09_hs_grad,Married-civ-spouse,Other-service,Wife,White,Female,21-35,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,36-40,none,none,Asia,<=50K
35-44,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,41-50,none,none,United-States,<=50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,none,United-States,>50K
65+,missing,05_grade_9,Married-civ-spouse,missing,Husband,Black,Male,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,41-50,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Transport-moving,Own-child,Black,Male,36-40,none,none,United-States,<=50K
25-34,Federal-gov,10_12_some_college_assoc,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,36-40,none,none,United-States,<=50K
25-34,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,none,United-States,>50K
25-34,State-gov,10_12_some_college_assoc,Divorced,Protective-serv,Other-relative,White,Male,41-50,none,none,United-States,<=50K
35-44,Private,14_16_graduate,Never-married,Exec-managerial,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
17-24,missing,07_grade_11,Never-married,missing,Own-child,White,Male,21-35,none,none,United-States,<=50K
45-54,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,>50K
17-24,Private,07_grade_11,Never-married,Other-service,Own-child,White,Female,1-20,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Sales,Unmarried,White,Female,36-40,none,none,United-States,<=50K
17-24,Self-emp-not-inc,10_12_some_college_assoc,Separated,Handlers-cleaners,Own-child,White,Male,41-50,none,none,United-States,<=50K
55-64,missing,04_grade_7_8,Married-civ-spouse,missing,Husband,White,Male,21-35,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Craft-repair,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Wife,White,Female,21-35,none,none,North-America-other,>50K
25-34,Private,08_grade_12,Married-civ-spouse,Craft-repair,Husband,White,Male,41-50,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Own-child,White,Male,1-20,none,none,United-States,<=50K
45-54,Private,04_grade_7_8,Married-spouse-absent,Other-service,Unmarried,White,Female,21-35,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Prof-specialty,Own-child,White,Male,36-40,none,none,Europe,<=50K
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,>50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,51-60,none,none,United-States,<=50K
65+,State-gov,06_grade_10,Divorced,Other-service,Not-in-family,Black,Female,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Never-married,Craft-repair,Own-child,White,Male,1-20,none,none,United-States,<=50K
17-24,Private,04_grade_7_8,Never-married,Other-service,Other-relative,White,Male,41-50,none,none,North-America-other,<=50K
55-64,Private,05_grade_9,Widowed,Other-service,Unmarried,Black,Female,36-40,none,none,United-States,<=50K
35-44,Local-gov,10_12_some_college_assoc,Married-civ-spouse,Other-service,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Transport-moving,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,36-40,none,none,North-America-other,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Sales,Not-in-family,White,Female,1-20,none,none,United-States,<=50K
45-54,Private,10_12_some_college_assoc,Separated,Sales,Unmarried,Black,Female,21-35,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,36-40,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Divorced,Prof-specialty,Unmarried,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,41-50,none,none,United-States,>50K
17-24,missing,05_grade_9,Never-married,missing,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
45-54,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,>50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,White,Female,36-40,none,none,Other,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Other-service,Not-in-family,White,Male,41-50,none,none,United-States,<=50K
45-54,Private,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,none,United-States,>50K
25-34,Local-gov,10_12_some_college_assoc,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,none,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Wife,White,Female,41-50,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Handlers-cleaners,Own-child,Black,Male,36-40,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Other-service,Unmarried,White,Female,21-35,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,1-20,none,none,United-States,<=50K
17-24,Private,07_grade_11,Never-married,Farming-fishing,Own-child,White,Male,41-50,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,<=50K
35-44,Local-gov,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,none,United-States,>50K
45-54,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,White,Male,21-35,none,none,Other,<=50K
55-64,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,<=50K
55-64,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,1-20,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Tech-support,Husband,White,Male,51-60,none,none,United-States,>50K
17-24,Private,07_grade_11,Never-married,Sales,Own-child,White,Male,1-20,none,none,United-States,<=50K
55-64,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,51-60,none,none,United-States,<=50K
35-44,State-gov,14_16_graduate,Never-married,Prof-specialty,Not-in-family,Black,Female,36-40,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Exec-managerial,Other-relative,White,Female,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Federal-gov,10_12_some_college_assoc,Never-married,Transport-moving,Not-in-family,Black,Male,36-40,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
25-34,missing,10_12_some_college_assoc,Married-civ-spouse,missing,Wife,White,Female,1-20,none,none,United-States,>50K
45-54,Local-gov,14_16_graduate,Never-married,Prof-specialty,Own-child,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Separated,Machine-op-inspct,Unmarried,Black,Female,1-20,none,none,United-States,<=50K
17-24,missing,10_12_some_college_assoc,Never-married,missing,Own-child,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Never-married,Tech-support,Own-child,Black,Male,36-40,none,none,United-States,<=50K
55-64,Private,13_bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,21-35,none,none,North-America-other,<=50K
55-64,Self-emp-not-inc,10_12_some_college_assoc,Divorced,Tech-support,Not-in-family,White,Female,1-20,none,none,United-States,>50K
25-34,Private,10_12_some_college_assoc,Never-married,Tech-support,Own-child,White,Male,1-20,none,none,United-States,<=50K
25-34,Local-gov,09_hs_grad,Married-civ-spouse,Other-service,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,04_grade_7_8,Never-married,Other-service,Other-relative,White,Male,21-35,none,none,North-America-other,<=50K
17-24,Private,05_grade_9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,36-40,none,none,North-America-other,<=50K
55-64,Private,06_grade_10,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,08_grade_12,Never-married,Craft-repair,Other-relative,Other,Male,41-50,none,none,North-America-other,<=50K
35-44,Private,06_grade_10,Never-married,Handlers-cleaners,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Sales,Own-child,White,Female,1-20,none,none,United-States,<=50K
25-34,Private,05_grade_9,Divorced,Handlers-cleaners,Not-in-family,White,Male,61+,none,none,United-States,<=50K
55-64,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Transport-moving,Wife,White,Female,1-20,none,none,Europe,>50K
35-44,Private,09_hs_grad,Divorced,Machine-op-inspct,Unmarried,White,Female,41-50,none,none,North-America-other,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,41-50,none,none,United-States,<=50K
25-34,Self-emp-not-inc,06_grade_10,Married-civ-spouse,Craft-repair,Husband,White,Male,41-50,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,White,Male,1-20,none,none,United-States,<=50K
35-44,Private,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,none,United-States,>50K
25-34,Private,10_12_some_college_assoc,Divorced,Craft-repair,Not-in-family,White,Male,41-50,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Own-child,White,Female,1-20,none,none,United-States,<=50K
25-34,Federal-gov,09_hs_grad,Divorced,Craft-repair,Unmarried,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Handlers-cleaners,Own-child,White,Female,1-20,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Adm-clerical,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,02_grade_1_4,Widowed,Other-service,Unmarried,Other,Female,21-35,none,none,North-America-other,<=50K
35-44,Private,13_bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
65+,Self-emp-not-inc,09_hs_grad,Widowed,Other-service,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
55-64,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,1-20,none,none,United-States,>50K
17-24,Private,09_hs_grad,Never-married,Sales,Own-child,White,Male,36-40,none,none,North-America-other,<=50K
17-24,Private,09_hs_grad,Never-married,Craft-repair,Other-relative,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,none,United-States,>50K
17-24,State-gov,13_bachelors,Never-married,Prof-specialty,Own-child,White,Female,41-50,none,none,United-States,<=50K
65+,missing,10_12_some_college_assoc,Widowed,missing,Not-in-family,White,Female,1-20,none,none,United-States,<=50K
55-64,Local-gov,09_hs_grad,Divorced,Other-service,Unmarried,White,Female,36-40,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Craft-repair,Other-relative,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,04_grade_7_8,Never-married,Farming-fishing,Unmarried,Other,Male,36-40,none,none,North-America-other,<=50K
25-34,Private,09_hs_grad,Never-married,Adm-clerical,Unmarried,White,Male,21-35,none,none,North-America-other,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Other-relative,White,Female,36-40,none,none,North-America-other,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Sales,Not-in-family,White,Male,41-50,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Machine-op-inspct,Own-child,White,Male,41-50,none,none,United-States,<=50K
25-34,State-gov,10_12_some_college_assoc,Never-married,Transport-moving,Not-in-family,Black,Male,36-40,none,none,United-States,<=50K
25-34,Federal-gov,09_hs_grad,Never-married,Exec-managerial,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,13_bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,36-40,none,none,United-States,>50K
25-34,Private,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Female,21-35,none,none,United-States,<=50K
55-64,Private,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,none,United-States,<=50K
45-54,missing,09_hs_grad,Widowed,missing,Unmarried,White,Female,36-40,none,none,United-States,<=50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,none,United-States,>50K
45-54,Private,10_12_some_college_assoc,Divorced,Exec-managerial,Unmarried,White,Male,51-60,none,none,Europe,<=50K
55-64,Local-gov,13_bachelors,Divorced,Prof-specialty,Not-in-family,Black,Female,36-40,none,none,United-States,<=50K
65+,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,White,Male,21-35,none,none,United-States,>50K
17-24,Private,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,none,United-States,<=50K
55-64,missing,09_hs_grad,Married-civ-spouse,missing,Husband,White,Male,21-35,none,none,United-States,<=50K
45-54,Private,04_grade_7_8,Married-civ-spouse,Craft-repair,Husband,Black,Male,51-60,none,none,United-States,>50K
45-54,Self-emp-inc,09_hs_grad,Divorced,Exec-managerial,Unmarried,White,Female,36-40,none,none,United-States,<=50K
65+,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,1-20,none,none,United-States,<=50K
25-34,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,<=50K
35-44,Federal-gov,10_12_some_college_assoc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,none,United-States,<=50K
65+,Private,06_grade_10,Widowed,Sales,Unmarried,Black,Female,1-20,none,none,United-States,<=50K
45-54,Private,13_bachelors,Divorced,Sales,Not-in-family,Black,Female,51-60,none,none,United-States,<=50K
25-34,Federal-gov,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,none,United-States,>50K
25-34,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Not-in-family,White,Female,51-60,none,none,United-States,<=50K
25-34,Federal-gov,13_bachelors,Divorced,Protective-serv,Not-in-family,White,Male,41-50,none,none,United-States,>50K
25-34,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,51-60,none,none,Europe,>50K
55-64,missing,09_hs_grad,Married-civ-spouse,missing,Husband,White,Male,36-40,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Prof-specialty,Own-child,White,Female,1-20,none,none,United-States,<=50K
25-34,State-gov,10_12_some_college_assoc,Never-married,Craft-repair,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
17-24,Private,07_grade_11,Never-married,Other-service,Own-child,White,Female,1-20,none,none,United-States,<=50K
25-34,Local-gov,09_hs_grad,Married-civ-spouse,Other-service,Husband,White,Male,41-50,none,none,United-States,<=50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Never-married,Farming-fishing,Own-child,White,Male,51-60,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Tech-support,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,13_bachelors,Never-married,Craft-repair,Own-child,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,none,United-States,>50K
17-24,Private,10_12_some_college_assoc,Never-married,Sales,Not-in-family,White,Male,1-20,none,none,United-States,<=50K
25-34,missing,04_grade_7_8,Divorced,missing,Own-child,White,Male,61+,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,13_bachelors,Separated,Craft-repair,Own-child,White,Male,21-35,none,none,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Handlers-cleaners,Own-child,White,Male,1-20,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Female,36-40,none,none,Asia,<=50K
17-24,Private,09_hs_grad,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,21-35,none,none,Other,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,none,United-States,<=50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,none,United-States,<=50K
35-44,Federal-gov,09_hs_grad,Married-civ-spouse,Other-service,Husband,White,Male,36-40,none,none,United-States,<=50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Prof-specialty,Husband,White,Male,1-20,none,none,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Adm-clerical,Unmarried,White,Female,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,none,United-States,<=50K
55-64,Private,09_hs_grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,1-20,none,none,United-States,>50K
45-54,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,41-50,none,none,United-States,<=50K
25-34,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Own-child,Black,Female,36-40,none,none,United-States,<=50K
45-54,Self-emp-inc,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,41-50,none,none,United-States,>50K
35-44,Local-gov,09_hs_grad,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,36-40,none,none,United-States,<=50K
55-64,Local-gov,13_bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,08_grade_12,Married-civ-spouse,Transport-moving,Husband,White,Male,36-40,none,none,North-America-other,<=50K
45-54,missing,14_16_graduate,Never-married,missing,Not-in-family,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,none,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,21-35,none,none,Asia,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,61+,none,none,United-States,<=50K
45-54,State-gov,13_bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,36-40,none,none,United-States,>50K
25-34,Private,10_12_some_college_assoc,Never-married,Tech-support,Own-child,White,Male,1-20,none,none,United-States,<=50K
25-34,Private,13_bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
65+,missing,09_hs_grad,Divorced,missing,Not-in-family,White,Female,36-40,none,none,United-States,>50K
55-64,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,21-35,none,none,Europe,<=50K
25-34,Private,09_hs_grad,Never-married,Adm-clerical,Own-child,White,Female,36-40,none,none,United-States,<=50K
25-34,Local-gov,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Wife,White,Female,21-35,none,none,United-States,<=50K
25-34,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,none,United-States,>50K
25-34,Private,13_bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
17-24,missing,10_12_some_college_assoc,Never-married,missing,Own-child,White,Female,1-20,none,none,United-States,<=50K
17-24,Private,09_hs_grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,none,United-States,<=50K
45-54,Private,13_bachelors,Divorced,Sales,Unmarried,White,Female,41-50,none,none,United-States,<=50K
45-54,Private,13_bachelors,Never-married,Prof-specialty,Not-in-family,Black,Male,21-35,none,none,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,41-50,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Divorced,Other-service,Unmarried,Black,Male,1-20,none,none,United-States,<=50K
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Husband,White,Male,41-50,none,none,United-States,>50K
17-24,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,36-40,none,none,Asia,<=50K
25-34,Self-emp-inc,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,51-60,none,none,Other,>50K
25-34,Private,07_grade_11,Divorced,Other-service,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Divorced,Other-service,Unmarried,White,Female,21-35,none,none,United-States,<=50K
45-54,Private,03_grade_5_6,Married-spouse-absent,Craft-repair,Other-relative,White,Male,36-40,none,none,North-America-other,<=50K
55-64,Private,09_hs_grad,Widowed,Adm-clerical,Not-in-family,White,Female,36-40,none,none,United-States,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,none,United-States,>50K
